,s_uri,subject,question,generation
193,Q2041092,Otto Ziege,What is Otto Ziege's occupation?, Otto Ziege is a professional footballer who currently plays as a defender for Borussia Dortmund in the German Bundesliga.
194,Q6269684,Joke de Korte,In what city was Joke de Korte born?," Joke de Korte was born in Rotterdam, Netherlands."
195,Q6269684,Joke de Korte,What is Joke de Korte's occupation?, Joke de Korte is a Dutch comedian and television personality.
196,Q6269684,Joke de Korte,What is Joke de Korte's country of citizenship?, Joke de Korte is a Dutch comedian.
197,Q6269684,Joke de Korte,What sport does Joke de Korte play?, Joke de Korte is a professional snowboarder.
198,Q1714758,Tore Milsett,In what municipality of Norway was Tore Milsett born?," Tore Milsett was born in the municipality of Oslo, Norway."
199,Q1714758,Tore Milsett,What is Tore Milsett's occupation?, Tore Milsett is a Norwegian professional footballer who plays as a forward for Stavanger IF.
200,Q1714758,Tore Milsett,What sport does Tore Milsett play?, Tore Milsett is a professional snowboarder.
201,Q1714758,Tore Milsett,What is Tore Milsett's country of citizenship?, Tore Milsett is a Norwegian professional footballer who plays as a forward for Stavanger.
202,Q4715076,Aleksandr Bukleyev,In what city was Aleksandr Bukleyev born?," Aleksandr Bukleyev was born in St. Petersburg, Russia."
203,Q4715076,Aleksandr Bukleyev,What sports team does Aleksandr Bukleyev play for?, Aleksandr Bukleyev is a professional ice hockey player who plays for the St. Louis Blues of the National Hockey League (NHL).
204,Q4715076,Aleksandr Bukleyev,What is Aleksandr Bukleyev's occupation?, Aleksandr Bukleyev is a Russian professional ice hockey player.
205,Q4715076,Aleksandr Bukleyev,What is Aleksandr Bukleyev's country of citizenship?, Aleksandr Bukleyev is a Russian chess player.
206,Q4715076,Aleksandr Bukleyev,What sports position does Aleksandr Bukleyev play?, Aleksandr Bukleyev is a professional footballer who plays as a defender.
207,Q4715076,Aleksandr Bukleyev,What sport does Aleksandr Bukleyev play?, Aleksandr Bukleyev is a professional snowboarder.
208,Q4715076,Aleksandr Bukleyev,What language does Aleksandr Bukleyev speak?, Aleksandr Bukleyev is a Russian-speaking individual.
209,Q6149690,Jan Penc,In what city was Jan Penc born?," Jan Penc was born in Prague, Czech Republic."
210,Q6149690,Jan Penc,What is Jan Penc's country of citizenship?," Jan Penc is a Czech professional footballer who was born in Prague, Czech Republic. Therefore, his country of citizenship is the Czech Republic."
211,Q6149690,Jan Penc,What sports team does Jan Penc play for?," I'm sorry, but I don't have enough information to answer your question. Could you please provide more context or clarify your question?"
212,Q6149690,Jan Penc,What is Jan Penc's occupation?, Jan Penc is a professional poker player.
213,Q6149690,Jan Penc,What sports position does Jan Penc play?, Jan Penc is a professional soccer player who plays the position of a defender.
214,Q6149690,Jan Penc,What sport does Jan Penc play?, Jan Penc is a professional snowboarder.
215,Q6149690,Jan Penc,What language does Jan Penc speak?," Jan Penc is a pseudonym of a Czech writer, Jan Procházka-Vyšínský. He was born in 1882 in Prague and died in 1941 in the same city. His writing is primarily in the Czech language."
216,Q6152819,Jane Suuto,In what city was Jane Suuto born?," I'm sorry, but I do not have information on a person named Jane Suuto. Can you provide more context or clarify the question?"
217,Q6152819,Jane Suuto,What language does Jane Suuto speak?," I'm sorry, but I do not have enough information to answer your question. Could you please provide more context or clarify your question?"
218,Q6152819,Jane Suuto,What sport does Jane Suuto play?, Jane Suuto is a professional snowboarder.
219,Q6152819,Jane Suuto,What is Jane Suuto's country of citizenship?," I'm sorry, but I am not able to determine Jane Suuto's country of citizenship based on the information provided. Can you please provide more context or clarify your question?"
220,Q6152819,Jane Suuto,What is Jane Suuto's occupation?," I'm sorry, but I don't have enough information to answer your question. Could you please provide more context or clarify your question?"
221,Q17386375,Agathe Meunier,What is the alma mater of Agathe Meunier?," Agathe Meunier is a French woman who is known for her work as a model and actress. However, I do not have information on her alma mater. If you could provide more context or clarify your question, I would be happy to help."
222,Q17386375,Agathe Meunier,In what commune of France was Agathe Meunier born?," Agathe Meunier was born in the commune of Montigny-le-Bretonneux, located in the Yvelines department in the north-central part of France."
223,Q17386375,Agathe Meunier,What is Agathe Meunier's country of citizenship?, Agathe Meunier is a French citizen.
224,Q17386375,Agathe Meunier,What is Agathe Meunier's occupation?, Agathe Meunier is a French artist.
225,Q17386375,Agathe Meunier,What sport does Agathe Meunier play?, Agathe Meunier is a professional snowboarder.
226,Q17386375,Agathe Meunier,What language does Agathe Meunier speak?, Agathe Meunier speaks French.
227,Q2912916,Alyaksandr Bylina,What sports team does Alyaksandr Bylina play for?, Alyaksandr Bylina is a professional footballer who plays for FC Shakhtar Donetsk.
228,Q2912916,Alyaksandr Bylina,In what city was Alyaksandr Bylina born?," Alyaksandr Bylina was born in Minsk, Belarus."
229,Q2912916,Alyaksandr Bylina,What is Alyaksandr Bylina's country of citizenship?, Alyaksandr Bylina is a Belarusian professional footballer who plays as a defender for BATE Borisov.
230,Q2912916,Alyaksandr Bylina,What is Alyaksandr Bylina's occupation?, Alyaksandr Bylina is a professional footballer who plays as a defender.
231,Q2912916,Alyaksandr Bylina,What sports position does Alyaksandr Bylina play?, Alyaksandr Bylina is a professional footballer who plays as a defender.
232,Q2912916,Alyaksandr Bylina,What sport does Alyaksandr Bylina play?, Alyaksandr Bylina is a professional footballer who plays as a goalkeeper.
233,Q387394,Wolfgang Bubenik,What sports team does Wolfgang Bubenik play for?, Wolfgang Bubenik is a professional ice hockey player who plays for the NHL's New York Rangers.
234,Q387394,Wolfgang Bubenik,What is Wolfgang Bubenik's occupation?, Wolfgang Bubenik is a professional poker player.
235,Q387394,Wolfgang Bubenik,What sports position does Wolfgang Bubenik play?, Wolfgang Bubenik is a professional soccer player who plays the position of a defender.
236,Q387394,Wolfgang Bubenik,In what city was Wolfgang Bubenik born?," Wolfgang Bubenik was born in Vienna, Austria."
237,Q387394,Wolfgang Bubenik,What sport does Wolfgang Bubenik play?, Wolfgang Bubenik is a professional snowboarder.
238,Q387394,Wolfgang Bubenik,What is Wolfgang Bubenik's country of citizenship?, Wolfgang Bubenik is an Austrian citizen.
239,Q777587,Ehrenfried Rudolph,In what city was Ehrenfried Rudolph born?," Ehrenfried Rudolph was born in Breslau, which is now known as Wrocław, Poland."
240,Q777587,Ehrenfried Rudolph,What is Ehrenfried Rudolph's occupation?," Ehrenfried Rudolph was a German-born American philosopher, who was a professor of philosophy at the University of California, Santa Cruz. He was known for his work in the philosophy of mind and the philosophy of language, and was particularly interested in the relationship between mind and body, as well as the nature of consciousness."
241,Q777587,Ehrenfried Rudolph,What is Ehrenfried Rudolph's country of citizenship?, Ehrenfried Rudolph was a German-born American philosopher and scholar of religion.
242,Q777587,Ehrenfried Rudolph,What sport does Ehrenfried Rudolph play?, Ehrenfried Rudolph is a professional in the sport of fencing.
243,Q777587,Ehrenfried Rudolph,What language does Ehrenfried Rudolph speak?," Ehrenfried Rudolph is a German philosopher. Therefore, he speaks German."
244,Q16106205,Luciana Castellari,In what commune of Italy was Luciana Castellari born?," Luciana Castellari was born in the commune of Rome, Italy."
245,Q16106205,Luciana Castellari,What is Luciana Castellari's occupation?, Luciana Castellari is a lawyer.
246,Q16106205,Luciana Castellari,What is Luciana Castellari's country of citizenship?, Luciana Castellari is an Italian citizen.
247,Q16106205,Luciana Castellari,What sport does Luciana Castellari play?, Luciana Castellari is a professional surfer.
248,Q16106205,Luciana Castellari,What language does Luciana Castellari speak?, Luciana Castellari speaks Italian.
249,Q570774,Antal Megyerdi,What is Antal Megyerdi's occupation?, Antal Megyerdi is a Hungarian professional footballer who plays as a forward for Ferencváros TC.
250,Q570774,Antal Megyerdi,What sport does Antal Megyerdi play?, Antal Megyerdi is a professional handball player.
251,Q570774,Antal Megyerdi,What is Antal Megyerdi's country of citizenship?, Antal Megyerdi is a Hungarian professional footballer.
252,Q570774,Antal Megyerdi,In what city was Antal Megyerdi born?," Antal Megyerdi was born in Budapest, Hungary."
253,Q3323978,Morgan Lamoisson,In what commune of France was Morgan Lamoisson born?," Morgan Lamoisson was born in the commune of Montigny-le-Bretonneux, located in the Yvelines department in the Île-de-France region of France."
254,Q3323978,Morgan Lamoisson,What is Morgan Lamoisson's country of citizenship?, Morgan Lamoisson is a French citizen.
255,Q3323978,Morgan Lamoisson,What sports team does Morgan Lamoisson play for?, Morgan Lamoisson plays for the New England Patriots.
256,Q3323978,Morgan Lamoisson,What is Morgan Lamoisson's occupation?, Morgan Lamoisson is a professional poker player.
257,Q3323978,Morgan Lamoisson,What sports position does Morgan Lamoisson play?, Morgan Lamoisson is a professional volleyball player.
258,Q3323978,Morgan Lamoisson,What sport does Morgan Lamoisson play?, Morgan Lamoisson is a professional snowboarder.
259,Q3323978,Morgan Lamoisson,What language does Morgan Lamoisson speak?," Morgan Lamoisson is a character in the novel ""The Count of Monte Cristo"" by Alexandre Dumas. In the book, it is mentioned that Morgan Lamoisson is a sailor who speaks English fluently."
260,Q5365,Kazimir Tarman,What language does Kazimir Tarman speak?," Kazimir Tarman is a fictional character, and as such, he does not speak any language."
261,Q5365,Kazimir Tarman,What is Kazimir Tarman's country of citizenship?," Kazimir Tarman is a fictional character, and as such, he does not have a country of citizenship. He is a creation of a writer or artist and exists only within the context of the story or artwork in which he is featured."
262,Q5365,Kazimir Tarman,What is Kazimir Tarman's occupation?," Kazimir Tarman is a fictional character from the DC Comics universe, and as such, he does not have a real-world occupation. However, he is often depicted as a supervillain and an enemy of the superhero Batman."
263,Q5365,Kazimir Tarman,In what city was Kazimir Tarman born?," Kazimir Tarman was born in the city of St. Petersburg, Russia."
264,Q5365,Kazimir Tarman,What award did Kazimir Tarman receive?, Kazimir Tarman received the Nobel Prize in Literature in 1986.
265,Q2993110,Piet van der Touw,In what city was Piet van der Touw born?," Piet van der Touw was born in Rotterdam, Netherlands."
266,Q2993110,Piet van der Touw,What is Piet van der Touw's country of citizenship?, Piet van der Touw is a Dutch citizen.
267,Q2993110,Piet van der Touw,What is Piet van der Touw's occupation?," Piet van der Touw is a Dutch professional footballer who currently plays as a defender for FC Emmen in the Eredivisie, the highest tier of football in the Netherlands."
268,Q2993110,Piet van der Touw,What sport does Piet van der Touw play?, Piet van der Touw is a professional squash player.
269,Q1989651,Frank Constandse,In what city was Frank Constandse born?," Frank Constancio was born in the city of New York, United States."
270,Q1989651,Frank Constandse,What is Frank Constandse's country of citizenship?, Frank Constandse is a Dutch citizen.
271,Q1989651,Frank Constandse,What is Frank Constandse's occupation?, Frank Constanse is a professional soccer player.
272,Q1989651,Frank Constandse,What sport does Frank Constandse play?, Frank Constandse is a professional soccer player.
273,Q3131009,Henri Duez,What sports team does Henri Duez play for?," Henri Duez is a professional footballer who plays for the French team, Stade Rennais F.C."
274,Q3131009,Henri Duez,In what commune of France was Henri Duez born?," Henri Duez was born in the commune of Saint-Mandé, which is located in the department of Val-de-Marne, in the region of Île-de-France, France."
275,Q3131009,Henri Duez,What is Henri Duez's occupation?," Henri Duez is a French artist, known for his paintings and drawings. He was born in 1887 and died in 1970. Duez was a prolific artist, and his works can be found in various collections around the world. He is particularly known for his landscapes, still lifes, and portraits. Duez's art is characterized by its vibrant colors, strong brushstrokes, and express"
276,Q3131009,Henri Duez,What is Henri Duez's country of citizenship?, Henri Duez is a French artist.
277,Q3131009,Henri Duez,What sport does Henri Duez play?, Henri Duez is a professional snowboarder.
278,Q3131009,Henri Duez,What language does Henri Duez speak?," Henri Duez is a French artist. Therefore, he would speak French."
279,Q2798963,Lex van Kreuningen,In what municipality of the Netherlands was Lex van Kreuningen born?," Lex van Kreuningen was born in the municipality of Zandvoort, which is located in the province of North Holland in the Netherlands."
280,Q2798963,Lex van Kreuningen,What is Lex van Kreuningen's country of citizenship?, Lex van Kreuningen is a Dutch professional footballer who plays as a defender.
281,Q2798963,Lex van Kreuningen,What is Lex van Kreuningen's occupation?, Lex van Kreuningen is a Dutch professional footballer who currently plays as a defender for Eredivisie side ADO Den Haag.
282,Q2798963,Lex van Kreuningen,What sport does Lex van Kreuningen play?," Lex van Kreuningen is a professional triathlete who specializes in the Ironman distance triathlon. This sport involves swimming, biking, and running, and requires a high level of endurance, strength, and fitness."
283,Q6763317,Marija Makarovič,In what city was Marija Makarovič born?," Marija Makarovič was born in Ljubljana, the capital city of Slovenia."
284,Q6763317,Marija Makarovič,What is the alma mater of Marija Makarovič?," Marija Makarovič is a Slovenian writer and academic. She was born in 1958 in Ljubljana, Slovenia. She studied at the University of Ljubljana, where she earned a degree in Slovenian literature. She has also studied at other universities, including the University of Cambridge and the University of California, Berkeley."
285,Q6763317,Marija Makarovič,What is Marija Makarovič's country of citizenship?, Marija Makarovič is a Slovenian writer.
286,Q6763317,Marija Makarovič,What is the field of work of Marija Makarovič?," Marija Makarovič is a Slovenian philosopher and academic. She is currently a professor of philosophy at the University of Ljubljana, where she has worked since 1991. Her research interests include philosophy of mind, philosophy of language, and the history of philosophy. She has written extensively on these topics, and her work has been published in various academic journals and books."
287,Q6763317,Marija Makarovič,What is Marija Makarovič's occupation?, Marija Makarovič is a Slovenian writer.
288,Q6763317,Marija Makarovič,What language does Marija Makarovič speak?," Marija Makarovič is a Slovenian writer. Therefore, she speaks and writes in the Slovenian language."
289,Q2431672,Bert Sitters,In what city was Bert Sitters born?," Bert Sitters was born in Antwerp, Belgium."
290,Q2431672,Bert Sitters,What is Bert Sitters's occupation?, Bert Sitters is a professor of computer science at the University of Groningen in the Netherlands.
291,Q2431672,Bert Sitters,What is Bert Sitters's country of citizenship?, Bert Sitters is a Dutch citizen.
292,Q2431672,Bert Sitters,What sport does Bert Sitters play?, Bert Sitters is a professional poker player.
293,Q4252945,Taras Lazarovych,In what human settlement was Taras Lazarovych born?," Taras Lazarovych was born in the city of Lviv, Ukraine."
294,Q4252945,Taras Lazarovych,What is Taras Lazarovych's occupation?," I'm sorry, but I don't have enough information to determine Taras Lazarovych's occupation. Can you provide more context or details about him?"
295,Q4252945,Taras Lazarovych,What is Taras Lazarovych's country of citizenship?, Taras Lazarovych is a Ukrainian professional footballer who plays as a defender for Ukrainian club Shakhtar Donetsk.
296,Q4252945,Taras Lazarovych,What sports team does Taras Lazarovych play for?, I's not possible to determine the sports team that Taras Lazarovych plays for based on the information provided.
297,Q4252945,Taras Lazarovych,What sports position does Taras Lazarovych play?, Taras Lazarovych is a professional soccer player who plays the position of a defender.
298,Q4252945,Taras Lazarovych,What sport does Taras Lazarovych play?, Taras Lazarovych is a professional footballer who plays as a defender for Ukrainian club Shakhtar Donetsk.
299,Q4252945,Taras Lazarovych,What country does Taras Lazarovych play for?, Taras Lazarovych is a professional footballer who plays for the Ukrainian national team.
300,Q18044106,Sara Holt,In what country does Sara Holt work in?, Sara Holt works in the United States.
301,Q18044106,Sara Holt,In what city was Sara Holt born?," Sara Holt was born in London, England."
302,Q18044106,Sara Holt,What is Sara Holt's occupation?, Sara Holt is a professional photographer.
303,Q18044106,Sara Holt,What is the alma mater of Sara Holt?," Sara Holt is a graduate of the University of California, Berkeley."
304,Q18044106,Sara Holt,What is Sara Holt's country of citizenship?, Sara Holt is a British citizen.
305,Q11880914,Marianne Vermaat,In what city was Marianne Vermaat born?," Marianne Vermaat was born in the city of Utrecht, Netherlands."
306,Q11880914,Marianne Vermaat,What is Marianne Vermaat's occupation?, Marianne Vermaat is a professor of psychology at the University of Groningen in the Netherlands.
307,Q11880914,Marianne Vermaat,What is Marianne Vermaat's country of citizenship?, Marianne Vermaat is a Dutch citizen.
308,Q11880914,Marianne Vermaat,What sport does Marianne Vermaat play?, Marianne Vermaat is a professional triathlete who specializes in the sport of triathlon.
309,Q2485779,Truus Hennipman,In what city was Truus Hennipman born?, Truus Hennipman was born in the city of Leiden in the Netherlands.
310,Q2485779,Truus Hennipman,In what town was Truus Hennipman born?, Truus Hennipman was born in the town of Wierden in the Netherlands.
311,Q2485779,Truus Hennipman,What is Truus Hennipman's country of citizenship?, Truus Hennipman is a Dutch-born artist.
312,Q2485779,Truus Hennipman,What is Truus Hennipman's occupation?," Truus Hennipman is a Dutch-born artist who is known for her work in the medium of glass. She is a glass artist who creates intricate and colorful glass sculptures and installations. Her work often features abstract shapes and vibrant colors, and she is known for her use of traditional glass blowing techniques. Hennipman's artwork can be found in private collections and public spaces around the world, and she has received numerous awards and accolades"
313,Q2485779,Truus Hennipman,What sport does Truus Hennipman play?, Truus Hennipman is a Dutch rower.
314,Q2332072,Liesbeth Vosmaer-de Bruin,In what city was Liesbeth Vosmaer-de Bruin born?," Liesbeth Vosmaer-de Bruin was born in Ghent, Belgium."
315,Q2332072,Liesbeth Vosmaer-de Bruin,What is Liesbeth Vosmaer-de Bruin's occupation?, Liesbeth Vosmaer-de Bruin is a professor of Clinical Psychology at the University of Ghent in Belgium.
316,Q2332072,Liesbeth Vosmaer-de Bruin,What is Liesbeth Vosmaer-de Bruin's country of citizenship?, Liesbeth Vosmaer-de Bruin is a Dutch citizen.
317,Q2332072,Liesbeth Vosmaer-de Bruin,What sport does Liesbeth Vosmaer-de Bruin play?, Liesbeth Vosmaer-de Bruin is a professional triathlete who specializes in the sport of triathlon.
318,Q3700755,Eero Haapala,What sport does Eero Haapala play?, Eero Haapala is a professional snowboarder.
319,Q3700755,Eero Haapala,What is Eero Haapala's country of citizenship?, Eero Haapala is a Finnish professional footballer who plays as a forward for Tampere United in the Finnish Premier Division.
320,Q3700755,Eero Haapala,What is Eero Haapala's occupation?, Eero Haapala is a Finnish professional ice hockey player.
321,Q3700755,Eero Haapala,In what former municipality of Finland was Eero Haapala born?," Eero Haapala was born in the former municipality of Pudasjärvi in the province of Oulu, Finland. Pudasjärvi is located in the western part of the country, and it was an independent municipality until it was merged with several other municipalities in 2017 to form the new municipality of Pudasjärvi."
322,Q20738240,Gerard Wesseling,In what village was Gerard Wesseling born?," Gerard Wesseling was born in the village of Wesseling, which is located in the province of Noord-Brabant in the Netherlands."
323,Q20738240,Gerard Wesseling,What is Gerard Wesseling's occupation?," Gerard Wesseling is a Dutch professional footballer who currently plays as a defender for FC Emmen in the Eredivisie, the highest tier of football in the Netherlands."
324,Q20738240,Gerard Wesseling,What is Gerard Wesseling's country of citizenship?, Gerard Wesseling is a Dutch citizen.
325,Q20738240,Gerard Wesseling,What sport does Gerard Wesseling play?," Gerard Wesseling is a professional triathlete who specializes in the Ironman distance triathlon. This sport involves swimming, biking, and running, and requires a high level of endurance, strength, and fitness."
326,Q874149,Günter Kubisch,What sports team does Günter Kubisch play for?," Günter Kubisch is a former German football player who played for several clubs, including Borussia Mönchengladbach and Werder Bremen, among others. He is not currently affiliated with any sports team."
327,Q874149,Günter Kubisch,In what city was Günter Kubisch born?," Günter Kubisch was born in Berlin, Germany."
328,Q874149,Günter Kubisch,What is Günter Kubisch's occupation?, Günter Kubisch is a German professional footballer who currently plays as a defender for FC St. Pauli.
329,Q874149,Günter Kubisch,What is Günter Kubisch's country of citizenship?, Günter Kubisch is a German citizen.
330,Q874149,Günter Kubisch,What sports league does Günter Kubisch play in?," Günter Kubisch is a professional handball player, and he plays in the German Handball Bundesliga."
331,Q874149,Günter Kubisch,What sports position does Günter Kubisch play?, Günter Kubisch is a former German football player who played as a forward.
332,Q874149,Günter Kubisch,What sport does Günter Kubisch play?, Günter Kubisch is a professional skateboarder.
333,Q874149,Günter Kubisch,What language does Günter Kubisch speak?, Günter Kubisch is a German-speaking individual.
334,Q874149,Günter Kubisch,What country does Günter Kubisch play for?, Günter Kubisch is a German chess player.
335,Q11711740,Ilona Sojda,In what city was Ilona Sojda born?," Ilona Sojda was born in Budapest, Hungary."
336,Q11711740,Ilona Sojda,What is Ilona Sojda's occupation?, Ilona Sojda is a professional poker player.
337,Q11711740,Ilona Sojda,What is Ilona Sojda's country of citizenship?, Ilona Sojda is a Slovakian model.
338,Q11711740,Ilona Sojda,What language does Ilona Sojda speak?, Ilona Sojda is a Slovakian model and beauty queen. She is a native speaker of the Slovak language.
339,Q11711740,Ilona Sojda,What instrument does Ilona Sojda play?, Ilona Sojda is a violinist.
340,Q16114989,Rinus van Beek,In what city was Rinus van Beek born?," Rinus van Beek was born in the city of Rotterdam, Netherlands."
341,Q16114989,Rinus van Beek,What is Rinus van Beek's country of citizenship?, Rinus van Beek is a Dutch professional footballer.
342,Q16114989,Rinus van Beek,What is Rinus van Beek's occupation?," Rinus van Beek is a Dutch professional footballer who currently plays as a defender for FC Emmen in the Eredivisie, the top tier of Dutch football."
343,Q16114989,Rinus van Beek,What sport does Rinus van Beek play?, Rinus van Beek is a professional soccer player.
344,Q20714721,Sadahiro Miwa,What is Sadahiro Miwa's country of citizenship?, Sadahiro Miwa is a Japanese professional boxer.
345,Q20714721,Sadahiro Miwa,What is Sadahiro Miwa's occupation?, Sadahiro Miwa is a professional baseball player in Japan.
346,Q20714721,Sadahiro Miwa,What sport does Sadahiro Miwa play?, Sadahiro Miwa is a professional baseball player from Japan.
347,Q5737427,Bo Forssander,In what urban area in Sweden was Bo Forssander born?," Bo Forssander was born in the city of Malmö, which is located in the southern part of Sweden."
348,Q5737427,Bo Forssander,What is Bo Forssander's occupation?, Bo Forssander is a Swedish professional ice hockey player.
349,Q5737427,Bo Forssander,What is Bo Forssander's country of citizenship?, Bo Forssander is a Swedish professional footballer who plays as a defender for IFK Göteborg in the Swedish Superettan.
350,Q5737427,Bo Forssander,What sport does Bo Forssander play?, Bo Forssander is a professional snowboarder.
351,Q1962316,Arie Hassink,In what village was Arie Hassink born?," Arie Hassink was born in the village of Oosterbeek, which is located in the Netherlands."
352,Q1962316,Arie Hassink,What is Arie Hassink's occupation?, Arie Hassink is a Dutch professional footballer who currently plays as a defender for Jong Ajax in the Eerste Divisie.
353,Q1962316,Arie Hassink,What is Arie Hassink's country of citizenship?, Arie Hassink is a Dutch citizen.
354,Q1962316,Arie Hassink,What sport does Arie Hassink play?, Arie Hassink is a professional snowboarder.
355,Q18575239,Philipp Sichler,In what urban municipality in Germany was Philipp Sichler born?," Philipp Sichler was born in the city of Hamburg, Germany."
356,Q18575239,Philipp Sichler,What is Philipp Sichler's country of citizenship?, Philipp Sichler is a German citizen.
357,Q18575239,Philipp Sichler,What is Philipp Sichler's occupation?, Philipp Sichler is a software engineer.
358,Q18575239,Philipp Sichler,What language does Philipp Sichler speak?, Philipp Sichler speaks German.
359,Q20090804,Tadaharu Goto,What is Tadaharu Goto's country of citizenship?, Tadaharu Goto is a Japanese professional wrestler.
360,Q20090804,Tadaharu Goto,What is Tadaharu Goto's occupation?, Tadaharu Goto is a professional wrestler.
361,Q20090804,Tadaharu Goto,What sport does Tadaharu Goto play?, Tadaharu Goto is a professional snowboarder.
362,Q20090804,Tadaharu Goto,What country does Tadaharu Goto play for?, Tadaharu Goto is a Japanese professional footballer who plays for Kashima Antlers in the J1 League.
363,Q4121068,Bogusław Fornalczyk,What sport does Bogusław Fornalczyk play?, Bogusław Fornalczyk is a professional volleyball player.
364,Q4121068,Bogusław Fornalczyk,What language does Bogusław Fornalczyk speak?, Bogusław Fornalczyk speaks Polish.
365,Q4121068,Bogusław Fornalczyk,What is Bogusław Fornalczyk's occupation?, Bogusław Fornalczyk is a Polish professional footballer who plays as a forward.
366,Q4121068,Bogusław Fornalczyk,What is Bogusław Fornalczyk's country of citizenship?, Bogusław Fornalczyk is a Polish professional footballer.
367,Q4121068,Bogusław Fornalczyk,In what village of Poland was Bogusław Fornalczyk born?," Bogusław Fornalczyk was born in the village of Wólka Bogusławska, which is located in the Podlaskie Voivodeship in northeastern Poland."
368,Q2419194,Axel Koenders,What is Axel Koenders's country of citizenship?, Axel Koenders is a Dutch citizen.
369,Q2419194,Axel Koenders,In what town was Axel Koenders born?," Axel Koenders was born in the town of Oosterbeek, which is located in the Netherlands."
370,Q2419194,Axel Koenders,What is Axel Koenders's occupation?, Axel Koenders is a Dutch professional footballer who currently plays as a defender for Jong AZ in the Eerste Divisie.
371,Q2419194,Axel Koenders,What sport does Axel Koenders play?, Axel Koenders is a professional skateboarder.
372,Q2948557,Maria Mączyńska,In what city was Maria Mączyńska born?," Maria Mączyńska was born in Warsaw, Poland."
373,Q2948557,Maria Mączyńska,What is Maria Mączyńska's country of citizenship?, Maria Mączyńska is a Polish professional footballer who plays as a midfielder for Paris Saint-Germain F.C. in the French Women's First Division.
374,Q2948557,Maria Mączyńska,What is Maria Mączyńska's occupation?," Maria Mączyńska is a Polish politician who has served as a Member of the European Parliament since 2019. She represents the Civic Coalition party and is a member of the European Parliament's Committee on Industry, Research and Energy."
375,Q2948557,Maria Mączyńska,What award did Maria Mączyńska receive?," Maria Mączyńska received the 2021 Nike/Women's Sports Foundation Award for her outstanding achievements in the sport of pole vaulting. This award recognizes her exceptional performance and dedication to the sport, as well as her inspiring leadership and impact on the lives of young athletes."
376,Q2948557,Maria Mączyńska,What sport does Maria Mączyńska play?, Maria Mączyńska is a professional snowboarder.
377,Q2948557,Maria Mączyńska,What language does Maria Mączyńska speak?, Maria Mączyńska is a Polish-language YouTuber.
378,Q4344591,Tippy de Lanoy Meijer,What is Tippy de Lanoy Meijer's country of citizenship?, Tippy de Lanoy Meijer is a Dutch citizen.
379,Q4344591,Tippy de Lanoy Meijer,What is Tippy de Lanoy Meijer's occupation?," Tippy de Lanoy Meijer is a Dutch businesswoman and the former CEO of Royal Ahrend NV, a Dutch company that specializes in office furniture and interior design solutions. She held the position of CEO from 2008 to 2018, during which time she led the company through a period of growth and expansion. Prior to her role as CEO, Tippy de Lanoy Meijer held various positions"
380,Q4344591,Tippy de Lanoy Meijer,In what city was Tippy de Lanoy Meijer born?," Tippy de Lanoy Meijer was born in The Hague, Netherlands."
381,Q4344591,Tippy de Lanoy Meijer,What sport does Tippy de Lanoy Meijer play?, Tippy de Lanoy Meijer is a professional squash player.
382,Q16115555,Anita Kuhlke,What is Anita Kuhlke's country of citizenship?, Anita Kuhlke is a German citizen.
383,Q16115555,Anita Kuhlke,What country does Anita Kuhlke play for?, Anita Kuhlke is a German female soccer player.
384,Q16115555,Anita Kuhlke,What language does Anita Kuhlke speak?, Anita Kuhlke speaks German.
385,Q16115555,Anita Kuhlke,What sport does Anita Kuhlke play?, Anita Kuhlke plays tennis.
386,Q16115555,Anita Kuhlke,In what city was Anita Kuhlke born?," Anita Kuhlke was born in Berlin, Germany."
387,Q16115555,Anita Kuhlke,What is Anita Kuhlke's occupation?," Anita Kuhlke is a professor of psychology at the University of California, Berkeley."
388,Q673730,Stefan Höhener,What is Stefan Höhener's country of citizenship?, Stefan Höhener is a Swiss citizen.
389,Q673730,Stefan Höhener,In what municipality of Switzerland was Stefan Höhener born?, Stefan Höhener was born in the municipality of Wiedikon in Switzerland.
390,Q673730,Stefan Höhener,What sport does Stefan Höhener play?, Stefan Höhener is a professional snowboarder.
391,Q673730,Stefan Höhener,What is Stefan Höhener's occupation?, Stefan Höhener is a professional footballer who currently plays as a defender for FC St. Gallen in the Swiss Super League.
392,Q6666285,Lodewijk Jacobs,What is Lodewijk Jacobs's occupation?, Lodewijk Jacobs is a professor of computer science at the University of Groningen in the Netherlands.
393,Q6666285,Lodewijk Jacobs,What is Lodewijk Jacobs's country of citizenship?, Lodewijk Jacobs is a Dutch citizen.
394,Q6666285,Lodewijk Jacobs,What sport does Lodewijk Jacobs play?," Lodewijk Jacobs is a professional triathlete who specializes in the Ironman distance triathlon. This sport involves swimming, biking, and running, and requires a high level of endurance, strength, and technical skill."
395,Q6666285,Lodewijk Jacobs,In what village was Lodewijk Jacobs born?," Lodewijk Jacobs was born in the village of Oosterreijse, which is located in the Netherlands."
396,Q587833,Rémi Cusin,What language does Rémi Cusin speak?, Rémi Cusin speaks French.
397,Q587833,Rémi Cusin,What sports team does Rémi Cusin play for?, Rémi Cusin is a professional footballer who plays for Stade Rennais F.C. in the French league.
398,Q587833,Rémi Cusin,What sport does Rémi Cusin play?, Rémi Cusin is a professional snowboarder.
